movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres
28,battleship,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action Adventure Sci-Fi Thriller
29,jurassic world,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action Adventure Sci-Fi Thriller
31,spider-man 2,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance
32,iron man 3,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action Adventure Sci-Fi
34,x-men: the last stand,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller
35,monsters university,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure Animation Comedy Family Fantasy
36,transformers: revenge of the fallen,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action Adventure Sci-Fi
37,transformers: age of extinction,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action Adventure Sci-Fi
39,the amazing spider-man 2,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action Adventure Fantasy Sci-Fi
41,cars 2,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure Animation Comedy Family Sport
42,green lantern,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action Adventure Sci-Fi
43,toy story 3,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure Animation Comedy Family Fantasy
44,terminator salvation,McG,Christian Bale,Bryce Dallas Howard,Common,Action Adventure Sci-Fi
45,furious 7,James Wan,Jason Statham,Paul Walker,Vin Diesel,Action Crime Thriller
46,world war z,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action Adventure Horror Sci-Fi Thriller
47,x-men: days of future past,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller
48,star trek into darkness,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action Adventure Sci-Fi
49,jack the giant slayer,Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure Fantasy
51,prince of persia: the sands of time,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action Adventure Fantasy Romance
52,pacific rim,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi
53,transformers: dark of the moon,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi
54,indiana jones and the kingdom of the crystal skull,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy
55,the good dinosaur,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy
56,brave,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy
57,star trek beyond,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller
58,wall·e,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi
59,rush hour 3,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller
60,2012,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi
61,a christmas carol,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy
62,jupiter ascending,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi
64,"the chronicles of narnia: the lion, the witch and the wardrobe",Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy
65,x-men: apocalypse,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi
66,the dark knight,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller
67,up,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family
68,monsters vs. aliens,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi
69,iron man,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi
70,hugo,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery
71,wild wild west,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western
72,the mummy: tomb of the dragon emperor,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller
73,suicide squad,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi
74,evan almighty,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy
75,edge of tomorrow,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi
76,waterworld,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller
77,g.i. joe: the rise of cobra,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller
78,inside out,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy
80,iron man 2,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi
81,snow white and the huntsman,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy
82,maleficent,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance
83,dawn of the planet of the apes,Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi
85,47 ronin,Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy
86,captain america: the winter soldier,Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi
87,shrek forever after,Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy
88,tomorrowland,Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi
89,big hero 6,Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi
90,wreck-it ralph,Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi
91,the polar express,Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy
92,independence day: resurgence,Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi
93,how to train your dragon,Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy
94,terminator 3: rise of the machines,Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi
95,guardians of the galaxy,James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi
96,interstellar,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi
97,inception,Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller
99,the hobbit: an unexpected journey,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy
101,the curious case of benjamin button,David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance
102,x-men: first class,Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi
103,the hunger games: mockingjay - part 2,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi
104,the sorcerer's apprentice,Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy
105,poseidon,Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller
106,alice through the looking glass,James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy
107,shrek the third,Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy
108,warcraft,Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy
109,terminator genisys,Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi
110,the chronicles of narnia: the voyage of the dawn treader,Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy
111,pearl harbor,Michael Bay,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War
112,transformers,Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi
113,alexander,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War
114,harry potter and the order of the phoenix,David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery
115,harry potter and the goblet of fire,Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery
116,hancock,Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Action Drama
117,i am legend,Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Drama Horror Sci-Fi
118,charlie and the chocolate factory,Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Adventure Comedy Family Fantasy
119,ratatouille,Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation Comedy Family Fantasy
120,batman begins,Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Action Adventure
121,madagascar: escape 2 africa,Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action Adventure Animation Comedy Family
122,night at the museum: battle of the smithsonian,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy
123,x-men origins: wolverine,Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller
124,the matrix revolutions,Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Action Sci-Fi
125,frozen,Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Adventure Animation Comedy Family Fantasy Musical
126,the matrix reloaded,Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Action Sci-Fi
127,thor: the dark world,Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy
128,mad max: fury road,George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,Action Adventure Sci-Fi Thriller
129,angels & demons,Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Mystery Thriller
130,thor,Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy
131,bolt,Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,Adventure Animation Comedy Drama Family
132,g-force,Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Action Adventure Animation Comedy Family Fantasy Sci-Fi
133,wrath of the titans,Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,Action Adventure Fantasy
134,dark shadows,Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Comedy Fantasy Horror
135,mission: impossible - rogue nation,Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,Action Adventure Thriller
136,the wolfman,Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,Drama Fantasy Horror Thriller
137,the legend of tarzan,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance
138,bee movie,Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,Adventure Animation Comedy Family
139,kung fu panda 2,Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Action Adventure Animation Comedy Family
140,the last airbender,M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,Action Adventure Family Fantasy
141,mission: impossible iii,J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,Action Adventure Thriller
142,white house down,Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,Action Drama Thriller
143,mars needs moms,Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Action Adventure Animation Comedy Family Sci-Fi
144,flushed away,David Bowers,Hugh Jackman,Kate Winslet,David Suchet,Adventure Animation Comedy Family
146,mr. peabody & sherman,Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,Adventure Animation Comedy Family Sci-Fi
147,troy,Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,Adventure
148,madagascar 3: europe's most wanted,Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Adventure Animation Comedy Family
149,die another day,Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,Action Adventure Thriller
151,armageddon,Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,Action Adventure Sci-Fi Thriller
152,men in black ii,Barry Sonnenfeld,Will Smith,Rosario Dawson,Rip Torn,Action Adventure Comedy Family Fantasy Mystery Sci-Fi
153,beowulf,Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roché,Action Adventure Animation Fantasy
154,kung fu panda 3,Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,Action Adventure Animation Comedy Family
155,mission: impossible - ghost protocol,Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,Action Adventure Thriller
156,rise of the guardians,Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin,Adventure Animation Family Fantasy
157,fun with dick and jane,Dean Parisot,John Michael Higgins,Richard Burgi,David Herman,Comedy Crime
158,the last samurai,Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg,Action Drama History War
160,star trek,J.J. Abrams,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,Action Adventure Sci-Fi
161,spider-man,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance
162,how to train your dragon 2,Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera,Action Adventure Animation Comedy Family Fantasy
163,gods of egypt,Alex Proyas,Gerard Butler,Elodie Yung,Bryan Brown,Action Adventure Fantasy
164,stealth,Rob Cohen,Sam Shepard,Joe Morton,Richard Roxburgh,Action Adventure Sci-Fi Thriller
165,watchmen,Zack Snyder,Matt Frewer,Billy Crudup,Stephen McHattie,Action Drama Mystery Sci-Fi
166,lethal weapon 4,Richard Donner,Jet Li,Rene Russo,Darlene Love,Action Crime Thriller
167,hulk,Ang Lee,Kevin Rankin,Regi Davis,Celia Weston,Action Sci-Fi
168,g.i. joe: retaliation,Jon M. Chu,Channing Tatum,Dwayne Johnson,Elodie Yung,Action Adventure Sci-Fi Thriller
170,final fantasy: the spirits within,Hironobu Sakaguchi,Steve Buscemi,Ming-Na Wen,Jean Simmons,Action Adventure Animation Fantasy Romance Sci-Fi
171,captain america: the first avenger,Joe Johnston,Chris Evans,Dominic Cooper,Hayley Atwell,Action Adventure Sci-Fi
172,the world is not enough,Michael Apted,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,Action Adventure Thriller
173,master and commander: the far side of the world,Peter Weir,James D'Arcy,Lee Ingleby,David Threlfall,Action Adventure Drama History War
175,happy feet 2,George Miller,Robin Williams,Brad Pitt,Common,Animation Comedy Family Musical
176,the incredible hulk,Louis Leterrier,Ty Burrell,Peter Mensah,William Hurt,Action Adventure Sci-Fi
177,miami vice            ,unknown,Don Johnson,Philip Michael Thomas,John Diehl,Action Crime Drama Mystery Thriller
178,the bfg,Steven Spielberg,Mark Rylance,Penelope Wilton,Rafe Spall,Adventure Family Fantasy
179,the revenant,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Lukas Haas,Adventure Drama Thriller Western
180,turbo,David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz,Adventure Animation Comedy Family Sport
181,rango,Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,Adventure Animation Comedy Family Western
182,penguins of madagascar,Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter,Adventure Animation Comedy Family
183,the bourne ultimatum,Paul Greengrass,Matt Damon,Edgar Ramírez,Albert Finney,Action Mystery Thriller
184,kung fu panda,Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,Action Adventure Animation Comedy Family
185,ant-man,Peyton Reed,Judy Greer,Hayley Atwell,T.I.,Action Adventure Comedy Sci-Fi
186,the hunger games: catching fire,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,Adventure Sci-Fi Thriller
187,the twilight saga: breaking dawn - part 2,Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure Drama Fantasy Romance
189,war of the worlds,Steven Spielberg,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,Adventure Sci-Fi Thriller
190,bad boys ii,Michael Bay,Will Smith,Henry Rollins,Jordi Mollà,Action Comedy Crime Thriller
191,puss in boots,Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,Action Adventure Animation Comedy Family Fantasy
192,salt,Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl,Action Crime Mystery Thriller
193,noah,Darren Aronofsky,Anthony Hopkins,Emma Watson,Logan Lerman,Action Adventure Drama
194,the adventures of tintin,Steven Spielberg,Toby Jones,Mackenzie Crook,Tony Curran,Action Adventure Family Mystery
195,harry potter and the prisoner of azkaban,Alfonso Cuarón,Daniel Radcliffe,Gary Oldman,Rupert Grint,Adventure Family Fantasy Mystery
196,australia,Baz Luhrmann,Essie Davis,Bryan Brown,Eddie Baroo,Adventure Drama Romance War
197,after earth,M. Night Shyamalan,Will Smith,Zoë Kravitz,Glenn Morshower,Action Adventure Sci-Fi
198,dinosaur,Eric Leighton,Alfre Woodard,D.B. Sweeney,Della Reese,Adventure Animation Family Thriller
199,harry potter and the deathly hallows: part ii,Matt Birch,Rupert Grint,Dave Legeno,Ralph Ineson,Action Fantasy
200,night at the museum: secret of the tomb,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy
201,megamind,Tom McGrath,J.K. Simmons,Brad Pitt,Will Ferrell,Action Animation Comedy Family Sci-Fi
202,harry potter and the sorcerer's stone,Chris Columbus,Daniel Radcliffe,Fiona Shaw,Verne Troyer,Adventure Family Fantasy
203,r.i.p.d.,Robert Schwentke,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,Action Comedy Fantasy
204,godzilla resurgence,Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Action Adventure Drama Horror Sci-Fi
205,pirates of the caribbean: the curse of the black pearl,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy
206,harry potter and the deathly hallows: part i,Matt Birch,Rupert Grint,Toby Jones,Alfred Enoch,Fantasy
207,the hunger games: mockingjay - part 1,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi Thriller
208,the da vinci code,Ron Howard,Tom Hanks,Seth Gabel,Jürgen Prochnow,Mystery Thriller
209,rio 2,Carlos Saldanha,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,Adventure Animation Comedy Family Musical
210,x-men 2,Bryan Singer,Hugh Jackman,Bruce Davison,Aaron Stanford,Action Adventure Fantasy Sci-Fi Thriller
211,fast five,Justin Lin,Paul Walker,Vin Diesel,Dwayne Johnson,Action Crime Thriller
212,sherlock holmes: a game of shadows,Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Paul Anderson,Action Adventure Crime Mystery Thriller
215,the 13th warrior,John McTiernan,Tony Curran,Vladimir Kulich,Clive Russell,Action Adventure History
216,the bourne legacy,Tony Gilroy,Jeremy Renner,Scott Glenn,Stacy Keach,Action Adventure Thriller
217,batman & robin,Joel Schumacher,Michael Gough,Vivica A. Fox,John Glover,Action
218,how the grinch stole christmas,Ron Howard,Clint Howard,T.J. Thyne,Molly Shannon,Comedy Family Fantasy
219,the day after tomorrow,Roland Emmerich,Jake Gyllenhaal,Dennis Quaid,Sela Ward,Action Adventure Sci-Fi Thriller
220,mission: impossible ii,John Woo,Tom Cruise,Dougray Scott,Richard Roxburgh,Action Adventure Thriller
221,the perfect storm,Wolfgang Petersen,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,Action Adventure Drama Thriller
222,fantastic 4: rise of the silver surfer,Tim Story,Chris Evans,Ioan Gruffudd,Andre Braugher,Action Adventure Sci-Fi Thriller
223,life of pi,Ang Lee,Suraj Sharma,Rafe Spall,Tabu,Adventure Drama Fantasy
224,ghost rider,Mark Steven Johnson,Nicolas Cage,Matt Long,Peter Fonda,Action Fantasy Thriller
225,jason bourne,Paul Greengrass,Matt Damon,Riz Ahmed,Ato Essandoh,Action Thriller
226,charlie's angels: full throttle,McG,Demi Moore,Bernie Mac,Justin Theroux,Action Adventure Comedy Crime
227,prometheus,Ridley Scott,Michael Fassbender,Charlize Theron,Sean Harris,Adventure Mystery Sci-Fi
228,stuart little 2,Rob Minkoff,Nathan Lane,Brad Garrett,Melanie Griffith,Adventure Animation Comedy Family Fantasy
229,elysium,Neill Blomkamp,Matt Damon,Sharlto Copley,Alice Braga,Action Drama Sci-Fi Thriller
230,the chronicles of riddick,David Twohy,Vin Diesel,Alexa Davalos,Christina Cox,Action Adventure Sci-Fi Thriller
232,speed racer,Lana Wachowski,Scott Porter,Kick Gurry,Nicholas Elia,Action Family Sport
233,how do you know,James L. Brooks,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,Comedy Drama Romance
234,knight and day,James Mangold,Tom Cruise,Marc Blucas,Jordi Mollà,Action Comedy Romance
235,oblivion,Joseph Kosinski,Morgan Freeman,Tom Cruise,Zoë Bell,Action Adventure Mystery Sci-Fi
236,star wars: episode iii - revenge of the sith,George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,Action Adventure Fantasy Sci-Fi
237,star wars: episode ii - attack of the clones,George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,Action Adventure Fantasy Sci-Fi
238,"monsters, inc.",Pete Docter,Steve Buscemi,John Ratzenberger,James Coburn,Adventure Animation Comedy Family Fantasy
239,the wolverine,James Mangold,Hugh Jackman,Tao Okamoto,Rila Fukushima,Action Adventure Sci-Fi Thriller
240,star wars: episode i - the phantom menace,George Lucas,Natalie Portman,Liam Neeson,Ian McDiarmid,Action Adventure Fantasy Sci-Fi
241,the croods,Kirk De Micco,Ryan Reynolds,Emma Stone,Nicolas Cage,Adventure Animation Comedy Family Fantasy
242,asterix at the olympic games,Frédéric Forestier,Alain Delon,Santiago Segura,Vanessa Hessler,Adventure Comedy Family Fantasy
243,windtalkers,John Woo,Nicolas Cage,Roger Willie,Noah Emmerich,Action Drama War
244,the huntsman: winter's war,Cedric Nicolas-Troyan,Chris Hemsworth,Sam Claflin,Charlize Theron,Action Adventure Drama Fantasy
246,gravity,Alfonso Cuarón,Phaldut Sharma,Basher Savage,Amy Warren,Adventure Drama Sci-Fi Thriller
247,dante's peak,Roger Donaldson,Jamie Renée Smith,Grant Heslov,Tzi Ma,Action Adventure Thriller
248,teenage mutant ninja turtles: out of the shadows,Dave Green,Stephen Amell,Noel Fisher,Brad Garrett,Action Adventure Comedy Sci-Fi
250,night at the museum,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Action Adventure Comedy Family Fantasy
251,san andreas,Brad Peyton,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi,Action Adventure Drama Thriller
252,tomorrow never dies,Roger Spottiswoode,Vincent Schiavelli,Colin Salmon,Joe Don Baker,Action Adventure Thriller
253,the patriot,Roland Emmerich,Heath Ledger,Adam Baldwin,Tom Wilkinson,Action Drama History War
254,ocean's twelve,Steven Soderbergh,Brad Pitt,Julia Roberts,Mini Anden,Crime Thriller
255,mr. & mrs. smith,Doug Liman,Brad Pitt,Angelina Jolie Pitt,Stephanie March,Action Comedy Crime Romance Thriller
256,insurgent,Robert Schwentke,Kate Winslet,Theo James,Mekhi Phifer,Adventure Sci-Fi Thriller
257,the aviator,Martin Scorsese,Leonardo DiCaprio,Adam Scott,Frances Conroy,Biography Drama
258,gulliver's travels,Rob Letterman,James Corden,Catherine Tate,Olly Alexander,Adventure Comedy Family Fantasy
